City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yellowknife,20,CA,1571615933,74,62.45,-114.38,28.4,6.93
Longyearbyen,75,NO,1571615933,66,78.22,15.63,14.0,6.93
Rikitea,100,PF,1571615933,71,-23.12,-134.97,70.13,14.54
Qaanaaq,0,GL,1571615933,46,77.48,-69.36,1.35,10.16
Punta Arenas,0,CL,1571615933,61,-53.16,-70.91,46.4,18.34
Nhulunbuy,20,AU,1571615934,55,-12.18,136.78,86.0,10.29
Husavik,96,CA,1571615934,75,50.56,-96.99,51.01,6.13
Praya,40,ID,1571615934,74,-8.71,116.27,82.4,6.93
Trairi,92,BR,1571615934,88,-3.28,-39.27,73.8,4.03
Albany,90,US,1571615934,87,42.65,-73.75,51.01,5.82
Port Alfred,51,ZA,1571615934,86,-33.59,26.89,63.0,1.99
Carnarvon,0,ZA,1571615934,36,-30.97,22.13,56.21,17.63
Meulaboh,100,ID,1571615935,84,4.14,96.13,79.31,8.12
Bluff,3,AU,1571615935,44,-23.58,149.07,78.86,16.42
Samarai,72,PG,1571615935,84,-10.62,150.67,78.5,5.79
Jamestown,0,AU,1571615935,27,-33.21,138.6,72.07,3.89
Waipawa,25,NZ,1571615935,62,-39.94,176.59,64.0,18.01
Gat,1,SN,1571615935,83,14.69,-16.54,80.6,12.75
Sambava,19,MG,1571615936,93,-14.27,50.17,65.19,3.24
Badou,95,TG,1571615936,95,7.58,0.61,71.39,2.95
Poum,0,MK,1571615936,77,41.28,20.71,51.08,1.03
Kudahuvadhoo,100,MV,1571615936,72,2.67,72.89,82.56,8.25
Busselton,1,AU,1571615936,53,-33.64,115.35,66.0,4.27
Georgetown,20,GY,1571615936,83,6.8,-58.16,82.4,6.93
Dauphin,1,CA,1571615936,64,51.15,-100.04,46.4,11.41
Ushuaia,40,AR,1571615937,88,-54.81,-68.31,46.4,5.82
Atuona,82,PF,1571615937,70,-9.8,-139.03,79.74,11.97
Sinjar,0,SY,1571615937,68,35.59,37.0,65.28,4.16
Taoudenni,0,ML,1571615937,21,22.68,-3.98,85.3,9.89
Airai,10,TL,1571615937,45,-8.93,125.41,84.15,4.61
Khatanga,100,RU,1571615937,94,71.98,102.47,16.11,15.35
Ambilobe,14,MG,1571615938,78,-13.19,49.05,70.97,8.08
Torbay,90,CA,1571615938,93,47.66,-52.73,45.0,5.82
Dhidhdhoo,100,MV,1571615938,77,6.88,73.1,79.09,8.05
Adrar,0,DZ,1571615938,25,27.87,-0.29,77.0,5.82
Castro,40,CL,1571615938,87,-42.48,-73.76,46.4,6.93
Lebu,75,ET,1571615938,76,8.96,38.73,55.4,4.7
Nikolskoye,90,RU,1571615938,87,59.7,30.79,51.8,6.71
Kabare,68,RW,1571615939,96,-1.65,29.38,55.08,0.72
Lorengau,59,PG,1571615939,80,-2.02,147.27,83.1,8.46
Gawler,0,AU,1571615939,47,-34.6,138.75,73.99,3.0
Guayaramerin,73,BO,1571615939,75,-10.82,-65.36,76.86,0.27
Te Anau,42,NZ,1571615939,73,-45.41,167.72,42.1,9.19
Ceyhan,40,TR,1571615939,93,37.03,35.82,66.2,4.7
Rajnagar,7,BD,1571615939,89,24.52,91.87,73.44,1.66
Butaritari,15,KI,1571615940,68,3.07,172.79,85.16,10.85
Hobart,40,AU,1571615940,39,-42.88,147.33,68.0,5.82
Lipari,5,IT,1571615940,78,38.47,14.95,72.0,4.7
Nakamura,75,JP,1571615940,72,35.17,136.87,68.0,4.7
Barrow,99,AR,1571615940,50,-38.31,-60.23,57.4,5.44
Mecca,0,SA,1571615950,60,21.43,39.83,81.14,5.37
Upernavik,50,GL,1571615951,79,72.79,-56.15,18.45,7.92
Talara,16,PE,1571615951,89,-4.58,-81.27,64.96,19.04
